"",Kraftig,Mørk,Tung,Mandig,Kvindelig,Sommerlig,Frisk,Syrlig,Citrus,Cider,Bær,Frugtig,Sød,Honning,Karamel,Chokolade,Lakrids,Pandekage,Sodavand,Syntetisk,Rengøringsmiddel,Rævepis,Kvalmende,Ølslat,Festivaløl,Weissbier,Let,Mild,Neutral,Normal,Harmonisk,Kompleks,Aroma,Nøddeagtig,Rund,Maltede,Gæret,Humlet,IPA,Mjød,Vin,Spiritus,Sprittet,Skarp,Bitter,Blomst,Gran,Hav,Brus,Alkoholfri,Vandet,Klistret,Gammel,Røget,Krydret,Rugbrød,Øllebrød,Hvede,Kaffe,Værtshus,Besk,Metal,Eftersmag,Dyr,Tør,Brændtsmag,Olie
Kraftig,"",76,66,52,23,19,14,19,0,0,0,9,19,4,19,9,23,4,4,14,4,9,9,0,4,4,19,14,19,14,19,38,19,14,23,33,19,23,9,9,9,23,38,38,23,4,4,4,9,9,19,19,19,33,38,23,28,4,19,14,14,14,9,19,33,28,0
Mørk,76,"",61,57,23,19,14,19,0,0,0,9,14,4,19,9,19,4,4,9,0,0,9,4,9,9,19,14,23,19,28,33,19,23,38,52,33,28,14,19,9,23,33,33,19,4,0,4,9,9,19,19,19,28,33,33,38,14,23,19,14,9,9,23,28,28,0
Tung,66,61,"",47,14,14,9,9,0,0,0,9,14,4,14,9,23,4,9,14,0,4,9,4,9,0,19,23,19,23,19,23,9,14,33,33,19,23,9,14,9,23,28,38,14,0,0,0,9,9,19,28,19,38,33,28,38,14,23,19,19,14,4,14,42,23,9
Mandig,52,57,47,"",42,28,19,19,14,4,4,19,14,4,4,4,14,4,4,9,4,14,19,14,19,4,14,14,23,19,33,28,19,19,28,38,33,23,9,9,9,23,38,28,28,4,9,4,14,9,19,28,28,28,28,28,28,14,19,28,14,14,4,28,23,19,4
Kvindelig,23,23,14,42,"",42,38,33,19,19,14,28,28,19,14,14,4,9,23,19,0,4,14,4,9,14,42,42,28,23,19,23,14,9,14,14,14,19,4,9,9,4,19,14,19,23,0,14,28,14,23,19,19,9,9,0,0,4,0,0,4,9,9,28,14,14,4
Sommerlig,19,19,14,28,42,"",71,52,42,42,52,66,33,19,4,9,9,14,23,19,0,4,9,0,28,19,38,38,19,19,33,19,23,14,23,14,19,28,28,4,9,4,19,19,33,33,9,14,42,9,19,19,14,14,9,0,0,9,0,9,4,4,9,23,19,14,0
Frisk,14,14,9,19,38,71,"",66,52,57,57,61,14,4,0,4,0,4,14,14,0,9,9,0,14,23,42,38,19,19,23,14,19,4,19,14,19,28,23,4,9,0,14,19,38,33,9,19,33,4,14,9,14,9,9,0,0,9,4,4,4,9,4,19,14,14,0
Syrlig,19,19,9,19,33,52,66,"",66,52,47,57,14,4,4,4,0,4,19,14,0,14,9,0,9,23,33,28,14,14,23,19,14,9,14,14,23,19,19,4,19,0,14,23,42,28,19,19,28,4,19,9,14,9,9,4,0,14,9,4,4,9,4,19,19,14,0
Citrus,0,0,0,14,19,42,52,66,"",61,57,57,19,23,14,19,19,28,28,9,9,23,0,4,14,28,19,19,0,0,9,0,9,14,4,0,9,4,19,9,19,4,0,9,23,28,19,19,33,0,0,0,0,9,4,14,9,23,19,9,0,14,4,9,4,0,9
Cider,0,0,0,4,19,42,57,52,61,"",57,42,9,14,4,9,9,14,33,9,4,19,0,4,23,38,33,28,9,9,14,0,4,4,9,0,4,4,28,23,28,14,0,4,19,23,9,9,33,9,0,0,0,4,0,4,4,9,14,14,0,9,4,14,4,0,4
Bær,0,0,0,4,14,52,57,47,57,57,"",71,19,28,28,28,23,23,23,9,4,14,0,4,19,19,23,23,4,9,19,0,19,23,4,4,4,14,23,9,14,4,0,4,19,52,28,23,28,0,0,0,0,9,4,9,9,19,9,9,0,9,9,19,4,4,9
Frugtig,9,9,9,19,28,66,61,57,57,42,71,"",33,23,19,19,9,19,23,23,0,4,9,0,14,14,28,28,9,19,28,9,23,14,19,14,14,19,28,9,9,0,9,19,28,33,14,23,33,4,9,9,9,19,14,0,0,4,4,9,4,0,14,14,14,14,0
Sød,19,14,14,14,28,33,14,14,19,9,19,33,"",68,47,38,28,57,33,33,0,0,9,0,9,4,14,19,9,14,19,19,14,28,19,19,9,9,0,19,14,4,9,9,9,14,0,4,19,4,9,23,14,23,23,4,9,4,9,4,4,0,4,14,9,14,0
Honning,4,4,4,4,19,19,4,4,23,14,28,23,68,"",61,52,42,61,38,14,4,9,0,4,9,4,4,9,0,4,9,4,9,33,9,9,0,4,4,38,19,9,0,0,0,23,9,9,4,0,0,4,0,14,9,14,14,9,14,4,0,9,9,19,0,4,9
Karamel,19,19,14,4,14,4,0,4,14,4,28,19,47,61,"",57,57,47,28,9,4,9,0,4,4,9,4,4,0,4,9,19,23,42,14,19,0,9,9,23,14,9,0,4,0,19,14,14,4,0,0,9,4,19,14,14,14,14,23,4,4,9,14,9,4,19,9
Chokolade,9,9,9,4,14,9,4,4,19,9,28,19,38,52,57,"",57,52,38,14,4,9,0,4,4,4,4,9,4,9,4,0,9,38,9,14,9,9,9,33,23,9,4,4,9,33,23,19,14,0,0,9,4,19,23,28,23,14,33,9,4,14,14,9,0,14,9
Lakrids,23,19,23,14,4,9,0,0,19,9,23,9,28,42,57,57,"",42,23,4,9,14,0,4,9,4,0,4,0,0,4,9,9,42,4,9,4,14,9,19,14,19,14,14,4,19,14,9,0,0,0,9,9,33,28,23,23,19,33,19,9,23,9,4,4,9,9
Pandekage,4,4,4,4,9,14,4,4,28,14,23,19,57,61,47,52,42,"",38,14,4,9,0,9,9,9,4,9,0,4,4,0,4,28,4,9,4,0,4,28,19,9,0,0,0,19,14,14,9,4,0,14,4,19,14,28,23,23,19,14,4,9,9,9,0,4,14
Sodavand,4,4,9,4,23,23,14,19,28,33,23,23,33,38,28,38,23,38,"",33,9,4,0,4,14,14,14,14,14,14,4,4,0,4,4,0,0,4,9,23,28,19,9,0,4,14,9,4,33,19,14,19,9,4,4,4,9,9,19,0,9,14,9,14,14,0,14
Syntetisk,14,9,14,9,19,19,14,14,9,9,9,23,33,14,9,14,4,14,33,"",42,23,33,0,4,0,14,19,19,19,9,14,14,9,9,9,19,4,0,9,4,9,19,14,9,9,4,9,23,14,28,33,23,28,23,0,4,4,9,4,19,38,9,9,14,23,14
Rengøringsmiddel,4,0,0,4,0,0,0,0,9,4,4,0,0,4,4,4,9,4,9,42,"",57,52,28,9,4,0,0,4,4,0,0,4,0,0,0,19,0,9,4,4,28,23,14,4,14,14,4,4,23,19,23,14,14,0,9,9,4,4,14,14,38,19,9,14,23,33
Rævepis,9,0,4,14,4,4,9,14,23,19,14,4,0,9,9,9,14,9,4,23,57,"",52,33,19,19,4,4,0,0,0,4,4,4,0,0,23,9,14,4,4,19,19,14,14,19,19,4,0,14,14,19,14,19,4,14,14,14,9,9,4,33,14,9,4,19,38
Kvalmende,9,9,9,19,14,9,9,9,0,0,0,9,9,0,0,0,0,0,0,33,52,52,"",47,23,4,9,9,9,9,9,9,9,4,9,9,23,4,4,0,0,14,14,9,9,4,4,4,4,19,19,42,38,28,9,4,4,0,0,23,9,14,14,14,19,33,28
Ølslat,0,4,4,14,4,0,0,0,4,4,4,0,0,4,4,4,4,9,4,0,28,33,47,"",42,14,4,4,14,9,4,0,0,0,4,4,14,4,4,9,4,14,4,4,4,9,4,4,4,14,14,28,33,9,0,19,14,14,14,38,9,4,19,9,4,9,23
Festivaløl,4,9,9,19,9,28,14,9,14,23,19,14,9,9,4,4,9,9,14,4,9,19,23,42,"",33,14,14,28,28,19,4,4,4,9,4,9,14,28,19,14,23,9,4,0,19,9,4,19,23,14,19,19,9,0,19,14,19,14,33,0,4,9,9,9,4,9
Weissbier,4,9,0,4,14,19,23,23,28,38,19,14,4,4,9,4,4,9,14,0,4,19,4,14,33,"",38,23,14,9,9,9,9,9,9,4,9,14,33,19,23,19,4,14,23,19,4,4,19,14,9,0,9,0,4,4,4,28,14,9,0,9,14,9,0,0,4
Let,19,19,19,14,42,38,42,33,19,33,23,28,14,4,4,4,0,4,14,14,0,4,9,4,14,38,"",66,42,38,19,19,9,4,28,9,14,14,9,4,9,4,14,23,23,28,0,9,23,23,38,14,14,9,9,0,0,14,0,0,4,0,4,19,19,9,0
Mild,14,14,23,14,42,38,38,28,19,28,23,28,19,9,4,9,4,9,14,19,0,4,9,4,14,23,66,"",38,33,19,14,4,9,33,9,14,14,9,4,4,9,14,19,19,23,0,4,19,28,33,19,23,9,9,0,9,19,4,0,9,4,0,19,23,9,0
Neutral,19,23,19,23,28,19,19,14,0,9,4,9,9,0,0,4,0,0,14,19,4,0,9,14,28,14,42,38,"",76,33,19,4,4,28,23,23,19,4,9,4,4,28,14,19,19,4,0,19,33,42,19,23,9,14,14,4,14,4,4,9,9,0,19,14,14,9
Normal,14,19,23,19,23,19,19,14,0,9,9,19,14,4,4,9,0,4,14,19,4,0,9,9,28,9,38,33,76,"",33,19,9,4,33,19,19,19,9,14,4,4,23,19,14,14,9,4,14,23,23,19,14,9,14,14,4,14,4,4,9,4,4,19,19,9,9
Harmonisk,19,28,19,33,19,33,23,23,9,14,19,28,19,9,9,4,4,4,4,9,0,0,9,4,19,9,19,19,33,33,"",47,42,23,47,28,33,23,14,9,0,9,23,14,14,14,19,14,23,9,19,14,14,14,23,4,4,14,4,14,9,4,14,28,19,19,4
Kompleks,38,33,23,28,23,19,14,19,0,0,0,9,19,4,19,0,9,0,4,14,0,4,9,0,4,9,19,14,19,19,47,"",52,33,42,33,28,23,9,4,4,9,28,19,14,4,9,9,14,9,19,14,19,19,47,0,0,9,4,9,14,9,23,33,23,19,4
Aroma,19,19,9,19,14,23,19,14,9,4,19,23,14,9,23,9,9,4,0,14,4,4,9,0,4,9,9,4,4,9,42,52,"",33,28,19,14,14,19,4,4,4,9,14,4,14,23,28,23,4,4,4,9,9,28,4,4,14,4,9,9,9,19,19,14,9,9
Nøddeagtig,14,23,14,19,9,14,4,9,14,4,23,14,28,33,42,38,42,28,4,9,0,4,4,0,4,9,4,9,4,4,23,33,33,"",42,33,19,14,19,14,9,9,9,9,9,14,19,9,4,4,4,4,14,33,33,14,14,23,23,14,9,4,4,14,9,14,9
Rund,23,38,33,28,14,23,19,14,4,9,4,19,19,9,14,9,4,4,4,9,0,0,9,4,9,9,28,33,28,33,47,42,28,42,"",38,28,14,14,14,14,14,19,23,9,0,4,0,9,9,19,14,9,14,28,14,14,9,9,4,9,0,14,28,23,19,4
Maltede,33,52,33,38,14,14,14,14,0,0,4,14,19,9,19,14,9,9,0,9,0,0,9,4,4,4,9,9,23,19,28,33,19,33,38,"",47,42,23,28,9,14,28,19,19,9,9,4,9,4,14,9,19,19,38,33,33,19,19,14,19,4,4,14,19,33,9
Gæret,19,33,19,33,14,19,19,23,9,4,4,14,9,0,0,9,4,4,0,19,19,23,23,14,9,9,14,14,23,19,33,28,14,19,28,47,"",47,23,23,9,9,28,28,28,19,19,4,9,9,28,14,23,23,38,33,28,28,14,19,14,14,9,14,19,19,14
Humlet,23,28,23,23,19,28,28,19,4,4,14,19,9,4,9,9,14,0,4,4,0,9,4,4,14,14,14,14,19,19,23,23,14,14,14,42,47,"",47,23,9,4,23,28,33,28,14,4,4,0,9,4,14,19,28,19,19,28,9,14,19,9,9,9,9,9,4
IPA,9,14,9,9,4,28,23,19,19,28,23,28,0,4,9,9,9,4,9,0,9,14,4,4,28,33,9,9,4,9,14,9,19,19,14,23,23,47,"",33,23,19,9,23,19,28,19,4,14,14,0,0,4,4,14,9,9,23,14,19,9,4,23,9,4,0,9
Mjød,9,19,14,9,9,4,4,4,9,23,9,9,19,38,23,33,19,28,23,9,4,4,0,9,19,19,4,4,9,14,9,4,4,14,14,28,23,23,33,"",38,23,9,14,4,19,14,4,14,9,0,4,4,9,14,28,28,23,23,14,4,4,14,14,9,4,9
Vin,9,9,9,9,9,9,9,19,19,28,14,9,14,19,14,23,14,19,28,4,4,4,0,4,14,23,9,4,4,4,0,4,4,9,14,9,9,9,23,38,"",28,14,4,19,19,14,4,19,14,4,0,0,4,9,23,14,9,19,4,0,4,4,14,23,4,14
Spiritus,23,23,23,23,4,4,0,0,4,14,4,0,4,9,9,9,19,9,19,9,28,19,14,14,23,19,4,9,4,4,9,9,4,9,14,14,9,4,19,23,28,"",66,28,9,4,19,9,9,14,14,28,14,19,9,9,19,9,19,23,9,23,14,23,33,14,9
Sprittet,38,33,28,38,19,19,14,14,0,0,0,9,9,0,0,4,14,0,9,19,23,19,14,4,9,4,14,14,28,23,23,28,9,9,19,28,28,23,9,9,14,66,"",42,28,9,23,4,14,14,28,28,28,28,23,4,4,0,0,9,9,28,9,23,33,19,9
Skarp,38,33,38,28,14,19,19,23,9,4,4,19,9,0,4,4,14,0,0,14,14,14,9,4,4,14,23,19,14,19,14,19,14,9,23,19,28,28,23,14,4,28,42,"",33,4,9,4,4,9,9,14,19,19,19,9,14,9,9,14,14,28,23,9,23,9,0
Bitter,23,19,14,28,19,33,38,42,23,19,19,28,9,0,0,9,4,0,4,9,4,14,9,4,0,23,23,19,19,14,14,14,4,9,9,19,28,33,19,4,19,9,28,33,"",23,19,4,19,4,23,14,14,9,19,14,4,9,23,4,19,19,14,9,14,23,0
Blomst,4,4,0,4,23,33,33,28,28,23,52,33,14,23,19,33,19,19,14,9,14,19,4,9,19,19,28,23,19,14,14,4,14,14,0,9,19,28,28,19,19,4,9,4,23,"",33,23,23,9,14,4,14,4,9,19,14,23,9,4,0,14,9,23,0,9,9
Gran,4,0,0,9,0,9,9,19,19,9,28,14,0,9,14,23,14,14,9,4,14,19,4,4,9,4,0,0,4,9,19,9,23,19,4,9,19,14,19,14,14,19,23,9,19,33,"",38,14,0,4,14,9,14,14,28,19,33,14,4,4,19,23,19,14,14,28
Hav,4,4,0,4,14,14,19,19,19,9,23,23,4,9,14,19,9,14,4,9,4,4,4,4,4,4,9,4,0,4,14,9,28,9,0,4,4,4,4,4,4,9,4,4,4,23,38,"",23,0,9,9,9,14,4,14,14,9,14,14,9,14,14,19,14,19,9
Brus,9,9,9,14,28,42,33,28,33,33,28,33,19,4,4,14,0,9,33,23,4,0,4,4,19,19,23,19,19,14,23,14,23,4,9,9,9,4,14,14,19,9,14,4,19,23,14,23,"",19,9,14,4,9,9,4,0,4,0,14,0,4,9,14,14,14,0
Alkoholfri,9,9,9,9,14,9,4,4,0,9,0,4,4,0,0,0,0,4,19,14,23,14,19,14,23,14,23,28,33,23,9,9,4,4,9,4,9,0,14,9,14,14,14,9,4,9,0,0,19,"",33,19,14,4,4,4,4,0,9,4,4,9,4,4,14,19,19
Vandet,19,19,19,19,23,19,14,19,0,0,0,9,9,0,0,0,0,0,14,28,19,14,19,14,14,9,38,33,42,23,19,19,4,4,19,14,28,9,0,0,4,14,28,9,23,14,4,9,9,33,"",33,33,14,9,4,9,4,9,4,19,28,4,23,33,23,14
Klistret,19,19,28,28,19,19,9,9,0,0,0,9,23,4,9,9,9,14,19,33,23,19,42,28,19,0,14,19,19,19,14,14,4,4,14,9,14,4,0,4,0,28,28,14,14,4,14,9,14,19,33,"",42,28,14,14,19,9,9,28,28,19,9,23,33,28,33
Gammel,19,19,19,28,19,14,14,14,0,0,0,9,14,0,4,4,9,4,9,23,14,14,38,33,19,9,14,23,23,14,14,19,9,14,9,19,23,14,4,4,0,14,28,19,14,14,9,9,4,14,33,42,"",38,19,4,14,14,14,23,23,23,14,19,23,19,19
Røget,33,28,38,28,9,14,9,9,9,4,9,19,23,14,19,19,33,19,4,28,14,19,28,9,9,0,9,9,9,9,14,19,9,33,14,19,23,19,4,9,4,19,28,19,9,4,14,14,9,4,14,28,38,"",42,14,14,9,28,28,9,14,4,9,14,33,14
Krydret,38,33,33,28,9,9,9,9,4,0,4,14,23,9,14,23,28,14,4,23,0,4,9,0,0,4,9,9,14,14,23,47,28,33,28,38,38,28,14,14,9,9,23,19,19,9,14,4,9,4,9,14,19,42,"",28,23,14,28,14,19,9,19,14,9,14,9
Rugbrød,23,33,28,28,0,0,0,4,14,4,9,0,4,14,14,28,23,28,4,0,9,14,4,19,19,4,0,0,14,14,4,0,4,14,14,33,33,19,9,28,23,9,4,9,14,19,28,14,4,4,4,14,4,14,28,"",76,42,33,14,4,14,9,9,9,14,23
Øllebrød,28,38,38,28,0,0,0,0,9,4,9,0,9,14,14,23,23,23,9,4,9,14,4,14,14,4,0,9,4,4,4,0,4,14,14,33,28,19,9,28,14,19,4,14,4,14,19,14,0,4,9,19,14,14,23,76,"",38,33,19,9,19,9,9,19,14,28
Hvede,4,14,14,14,4,9,9,14,23,9,19,4,4,9,14,14,19,23,9,4,4,14,0,14,19,28,14,19,14,14,14,9,14,23,9,19,28,28,23,23,9,9,0,9,9,23,33,9,4,0,4,9,14,9,14,42,38,"",28,14,14,14,9,9,4,0,23
Kaffe,19,23,23,19,0,0,4,9,19,14,9,4,9,14,23,33,33,19,19,9,4,9,0,14,14,14,0,4,4,4,4,4,4,23,9,19,14,9,14,23,19,19,0,9,23,9,14,14,0,9,9,9,14,28,28,33,33,28,"",23,14,19,9,4,4,23,4
Værtshus,14,19,19,28,0,9,4,4,9,14,9,9,4,4,4,9,19,14,0,4,14,9,23,38,33,9,0,0,4,4,14,9,9,14,4,14,19,14,19,14,4,23,9,14,4,4,4,14,14,4,4,28,23,28,14,14,19,14,23,"",23,9,14,4,9,9,0
Besk,14,14,19,14,4,4,4,4,0,0,0,4,4,0,4,4,9,4,9,19,14,4,9,9,0,0,4,9,9,9,9,14,9,9,9,19,14,19,9,4,0,9,9,14,19,0,4,9,0,4,19,28,23,9,19,4,9,14,14,23,"",23,14,9,14,14,14
Metal,14,9,14,14,9,4,9,9,14,9,9,0,0,9,9,14,23,9,14,38,38,33,14,4,4,9,0,4,9,4,4,9,9,4,0,4,14,9,4,4,4,23,28,28,19,14,19,14,4,9,28,19,23,14,9,14,19,14,19,9,23,"",28,14,9,19,23
Eftersmag,9,9,4,4,9,9,4,4,4,4,9,14,4,9,14,14,9,9,9,9,19,14,14,19,9,14,4,0,0,4,14,23,19,4,14,4,9,9,23,14,4,14,9,23,14,9,23,14,9,4,4,9,14,4,19,9,9,9,9,14,14,28,"",23,9,9,19
Dyr,19,23,14,28,28,23,19,19,9,14,19,14,14,19,9,9,4,9,14,9,9,9,14,9,9,9,19,19,19,19,28,33,19,14,28,14,14,9,9,14,14,23,23,9,9,23,19,19,14,4,23,23,19,9,14,9,9,9,4,4,9,14,23,"",23,19,14
Tør,33,28,42,23,14,19,14,19,4,4,4,14,9,0,4,0,4,0,14,14,14,4,19,4,9,0,19,23,14,19,19,23,14,9,23,19,19,9,4,9,23,33,33,23,14,0,14,14,14,14,33,33,23,14,9,9,19,4,4,9,14,9,9,23,"",33,9
Brændtsmag,28,28,23,19,14,14,14,14,0,0,4,14,14,4,19,14,9,4,0,23,23,19,33,9,4,0,9,9,14,9,19,19,9,14,19,33,19,9,0,4,4,14,19,9,23,9,14,19,14,19,23,28,19,33,14,14,14,0,23,9,14,19,9,19,33,"",23
Olie,0,0,9,4,4,0,0,0,9,4,9,0,0,9,9,9,9,14,14,14,33,38,28,23,9,4,0,0,9,9,4,4,9,9,4,9,14,4,9,9,14,9,9,0,0,9,28,9,0,19,14,33,19,14,9,23,28,23,4,0,14,23,19,14,9,23,""
